director_id,director_name
1,'Weird Al' Yankovic
2,A$AP Rocky
3,A-F-R-O
4,A. Balakrishnan
5,A. Bhimsingh
6,A. Edward Sutherland
7,A. Joji
8,A. Kodandarami Reddy
9,A. Muthu
10,A. Rachman
11,A. Razak Mohaideen
12,A. Salaam
13,A. Shamsheer
14,A. Todd Smith
15,A. Venkatesh
16,A. Vinoth Kumar
17,A.A. Miller
18,A.B. Binil
19,A.B. Stone
20,A.B. Zax
21,A.C. Trilogchander
22,A.D. Calvo
23,A.D. Massi
24,A.D. Scott
25,A.F. Erickson
26,A.J. Briones
27,A.J. Eaton
28,A.J. Edwards
29,A.J. LoCascio
30,A.J. Martinson
31,A.J. Pinkerton
32,A.J. Rose Jr.
33,A.J. Tesler
34,A.K. Bir
35,A.K. Hottman
36,A.K. Lohithadas
37,A.K. Strom
38,A.L. Smith
39,A.L. Vijay
40,A.M. Walters
41,A.M.R. Ramesh
42,A.P. Arjun
43,A.P. Nagarajan
44,A.R. Badul
45,A.R. Harwood
46,A.R. Murugadoss
47,A.R. Rahman
48,A.R. Sreedhar
49,A.T. Abu
50,A.T. White
51,A.V. Club
52,A.V. Rockwell
53,A.W. Sandberg
54,A.W. Vidmer
55,A/J Jackson
56,AJ Clementine
57,AJ Jones
58,AJ Schnack
59,AK Srikanth
60,Aadatt M.P
61,Aadharsh Madhikaandham
62,Aadhi
63,Aage Rais-Nordentoft
64,Aakash Bhatia
65,Aaldrik Bakker
66,Aamir Bashir
67,Aamir Pallikkal
68,Aanand L. Rai
69,Aarif Sheikh
70,Aarne Tarkas
71,Aaro Kuusinen
72,Aaron A. Goffman
73,Aaron Alon
74,Aaron Augenblick
75,Aaron B. Koontz
76,Aaron Barsky
77,Aaron Bierman
78,Aaron Bilgrad
79,Aaron Bratcher
80,Aaron Brookner
81,Aaron Burns
82,Aaron C. Peer
83,Aaron Christian Paderewski
84,Aaron Cohen
85,Aaron Falvey
86,Aaron Fisher
87,Aaron Fisher-Cohen
88,Aaron Fjellman
89,Aaron Fradkin
90,Aaron Fuks
91,Aaron Goldenberg
92,Aaron Gunn
93,Aaron Harvey
94,Aaron Heath
95,Aaron Huggett
96,Aaron Irons
97,Aaron Isaac Vasquez
98,Aaron James
99,Aaron Katz
100,Aaron Kaufman
101,Aaron Kim
102,Aaron Kim Johnston
103,Aaron Kreltszheim
104,Aaron Kunkel
105,Aaron Kurmey
106,Aaron L. Williams
107,Aaron Land
108,Aaron Lee Lopez
109,Aaron Leong
110,Aaron Lieber
